id,exerciseId,ratingELO
64898,10760,192
64190,10761,194
64288,10766,200
64381,10767,202
62304,10770,197
64169,10771,206
64694,10772,199
63823,10773,196
64287,10774,195
63824,10775,192
64162,10776,201
64193,10777,185
64884,10779,190
64859,10780,186
57257,10809,-1
57258,10810,-1
57259,10811,-1
57260,10812,-1
57261,10813,-1
57282,10815,-1
55774,10857,199
55703,10880,199
55339,10882,193
64276,10884,188
62723,10885,196
64882,10887,197
60658,10888,186
64277,10889,176
62592,10890,186
61797,10891,-1
62732,10895,175
64059,10896,182
61176,10924,194
61854,10927,197
62662,10928,191
61856,10929,197
61857,10930,195
61858,10931,194
61859,10932,197
61860,10933,202
62749,10937,198
59265,10938,197
61980,10942,180
56251,10947,195
57288,10952,-1
57289,10953,-1
57290,10954,-1
56326,10982,200
60869,10985,-1
58625,10986,194
59185,10987,196
64194,11208,196
60301,11348,197
63136,11353,-1
64883,11385,198
65800,11387,171
61104,11420,201
62161,11421,197
58088,11422,191
59983,11423,185
56420,11424,192
61072,11425,197
60347,11426,186
62184,11589,201
62202,11595,196
62226,11600,201
61886,11602,197
61978,11605,198
61969,11611,-1
62196,11615,202
62233,11619,199
62017,11622,197
62144,11627,-1
62612,11885,196
63128,11889,199
63137,11895,-1
65775,11899,183
61853,11900,197
61861,11901,197
66012,11903,181
63003,11967,201
65777,11974,182
64103,12072,201
64034,12080,197
63392,12118,202
63328,12119,-1
63421,12124,198
64319,12126,-1
64351,12127,200
64159,12128,197
64769,12129,197
66042,12130,193
65577,12132,187
66141,12133,183
66089,12134,191
63776,12135,203
64751,12136,196
63422,12138,200
63468,12140,198
63724,12144,197
64097,12146,202
64168,12149,199
63407,12150,197
65892,12151,187
64663,12152,-1
66076,12153,196
66116,12154,179
66142,12155,177
66156,12156,189
63313,12158,198
66117,12159,188
63394,12167,192
63843,12171,191
64222,12172,196
66027,12173,187
64809,12174,198
64667,12175,-1
65985,12176,183
63777,12177,196
66091,12178,193
65945,12179,192
66179,12180,187
63736,12181,191
66119,12182,192
65962,12185,183
64249,12186,198
64666,12190,-1
64662,12192,192
64114,12195,204
65774,12211,180
65311,12212,189
63650,12213,197
66028,12249,198
66120,12257,196
65111,12335,192
57380,1710,-1
65778,1711,185
65252,1712,204
65975,1713,195
65522,1714,185
64756,1715,198
53253,1716,-1
65895,1717,206
65927,1718,184
65976,1719,168
65256,1720,191
26554,1721,190
29921,1722,-1
61875,1723,-1
30982,1724,201
57300,1725,-1
27997,1726,175
31503,1727,207
31456,1728,183
31191,1729,193
30050,1730,-1
48170,1731,183
50518,1732,-1
49526,1733,155
50467,1734,-1
50676,1735,-1
50761,1736,-1
57382,1737,-1
61892,1738,195
50830,1739,202
64195,1740,202
55482,1741,200
50823,1742,202
63807,1743,193
66173,1744,-1
64151,1745,183
66047,1746,181
66048,1747,199
65897,1748,194
62636,1749,182
62597,1750,194
64025,1751,194
66174,1752,-1
62576,1753,197
66159,1754,190
65898,1755,159
65780,1756,195
65264,1757,200
65834,1758,191
31413,1759,201
48403,1760,174
63007,1761,192
64384,1762,199
65284,1763,190
63830,1764,186
50708,1765,-1
65977,1766,212
53282,1767,-1
66175,1768,-1
64196,1769,196
57319,1770,-1
57351,1771,-1
64197,1772,208
65978,1773,194
65265,1774,188
64931,1775,202
48561,1776,155
57333,1777,-1
66018,1778,193
66160,1779,172
50764,1780,-1
52397,1781,198
65979,1782,170
50688,1783,-1
65267,1784,196
63134,1785,204
65268,1786,186
65437,1787,192
64171,1788,177
50867,1789,-1
66050,1790,192
65915,1791,164
65274,1792,195
64211,1793,189
63125,1794,197
49555,1795,204
51020,1796,-1
64143,1797,193
65980,1798,175
50809,1799,-1
65481,1800,178
64355,1801,198
65929,1802,188
64866,1803,192
63374,1804,196
57069,1805,210
65795,1806,178
64361,1807,201
66052,1808,200
65981,1809,183
65765,1810,198
65901,1811,215
51551,1812,201
63757,1813,206
66038,1814,199
65810,1815,195
65075,1816,190
65258,1817,196
48484,1818,167
57321,1819,-1
49556,1820,191
49539,1821,194
